Variable,Group0_W,Group0_p,Group1_W,Group1_p
N3PSg-R-AExpSUB,1.0,1.0,0.2236467724064931,4.2335251809523757e-13
N3PSg-R-AExpSUBMS,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O2PSgGenPOSS,1.0,1.0,0.2273737769560038,4.55706758477746e-13
N3PSg+R+ASUBES,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
N3PSg-R-AExpSUBES,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O3PPl+R+APOSSES,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O3PPl+R+APOSSPREP,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O3PPl+R+APOSSPREPES,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O3PSg+R+I+APREP,1.0,1.0,0.30434510453884944,2.214688171298486e-12
O3PSg+R+I+APREPMS,1.0,1.0,0.30434510453884944,2.214688171298486e-12
O3PPl-R-AExpSUBES,1.0,1.0,0.2781947609208564,1.2771172636055682e-12
O3PSg+R+APOSS,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O3PSg+R+APOSSES,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O3PSg-R+AExp,1.0,1.0,0.149676523095724,1.0318425192153712e-13
O3PSg-R+AExpSUB,1.0,1.0,0.149676523095724,1.0318425192153712e-13
O3PSg-R+AExpSUBMS,1.0,1.0,0.149676523095724,1.0318425192153712e-13
O3PPl+R-APOSSES,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
N3PPl+R-ASUBES,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
CSTRUNC,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
CSTRUNC+A,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O2PSgGenPREP,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O2PSgGenPOSSPREP,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O1PPl-R-AGenSUBMS,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
N2PSgGen,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
N2PSgGenSUB,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
