Variable,U,Rank_Biserial,p,Mean_Group0,SD_Group0,Mean_Group1,SD_Group1,Median_Group0,Median_Group1,N_Group0,N_Group1
O3PSg-R+ASUBES,702.0,0.02857142857142847,0.3037002443347643,5.7487783845931434e-05,0.00034010231578611563,0.0,0.0,0.0,0.0,35,39
O2PSg-R-AGenSUBES,702.0,0.02857142857142847,0.3037002443347643,0.00013802622498274573,0.0008165741591579803,0.0,0.0,0.0,0.0,35,39
O3PSg+R+I-APREPES,745.0,0.09157509157509147,0.31150499536322795,0.0007982829482366915,0.0017205956907786126,0.0005694091298704026,0.0016773918260246765,0.0,0.0,35,39
ESTRUNC+A,609.0,-0.10769230769230764,0.32039355660743885,0.00105917762587732,0.0022457866500426114,0.0015990537714504769,0.0026705515578015495,0.0,0.0,35,39
O1PSgPOSS,772.5,0.13186813186813184,0.3321194931749746,0.017001433902843432,0.010224069371984475,0.01512176040360747,0.012510799318523837,0.0166320166320166,0.0126849894291754,35,39
O2PSgGenOBJ,648.0,-0.05054945054945059,0.3475643289034801,5.7487783845931434e-05,0.00034010231578611563,0.0002927021928723539,0.0011304189033459104,0.0,0.0,35,39
O3PSg-R-AExpSUBES,755.5,0.10695970695970702,0.35147900655533415,0.001645354815980317,0.0021718216212257427,0.0016594928827255023,0.003090399726208162,0.0,0.0,35,39
O3PSg+R+I+ASUBMS,629.0,-0.07838827838827844,0.353816328510262,0.00043918742439809713,0.001305860596599441,0.0010477350716818644,0.0024094765547501298,0.0,0.0,35,39
N3PSg-R-AExpSUBMS,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,6.346788525006154e-05,0.0003963568163492133,0.0,0.0,35,39
O3PPl+R+APOSSPREP,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00014907573047107691,0.0009309776384016545,0.0,0.0,35,39
N2PSgSUB,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,6.49139889646205e-05,0.0004053877311521107,0.0,0.0,35,39
O3PSg-R-AOBJMS,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,5.4209356534935895e-05,0.00033853732305513985,0.0,0.0,35,39
O3PSg-R-AOBJ,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,5.4209356534935895e-05,0.00033853732305513985,0.0,0.0,35,39
